ASIN,Brand,Title,Category,BuyBox,#,Fulfillment ,Price,FBA fee,Sales,Revenue,BSR,Rating,Review Count,Review Velocity,Dimensions,Weight,Size Tier,Images,,
"B07VDBXWQH","($) SPIFFLYER","($) Spifflyer 5M 16 Foot Self Locking Tape Measure Retractable Measuring Tape, Metric and Inch, Orange & Black","($) DIY & Tools","($) ","1","FBA","6.99","2.98","9","62.91","34,850","5","3","0","5.3x17.4x2.3","0.53","Large Standard-Size","7",,
"B07PDYJ4P1","($) Proster","($) Proster Distance Meter 2-in-1 40m Distance Meter with 5m Tape Meter Metric Inches Distance Measure LCD Digital Display Movable Magnetic Hook","($) DIY & Tools","($) ","3","FBA","28.95","5.61","1","28.95","136,581","3.5","3","0","4.2x5.0x3.3","0.84","Large Standard-Size","7",,
"B07YTY9CXJ","Advent","Advent Vice Versa Tape Measure 8m x 25mm Dual Printed Blade","DIY & Tools",,"1","MFN","10.99","3.49","2","21.98","76,821","5","2","0","n/a","1.1","n/a","2",,
"B001KOTNUI","Rolson","Rolson 50569 10m x 25mm Tape Measure","DIY & Tools",,"4","MFN","5.25","2.80","345","1,811.25","1,206","4","630","4","3.9x6.1x1.6","0.88","Large Standard-Size","5",,
"B003CT4DFY","Roughneck","Roughneck ROU43203 Tape Measure 3m/10ft 16mm Blade","DIY & Tools",,"2","AMZ","5.36","2.27","8","42.88","189,947","3.5","11","0","2.8x4.9x1.0","0.26","Large Standard-Size","1",,
"B07H26R64Y","HAUTMEC","HAUTMEC 8m Auto Lock Tape Measure, Imperial Metric Inches Scale, Nylon Coated Measuring Tape Ruler Blade and Sturdy Shock Absorbent ABS Rubber Case HT0019-TA","DIY & Tools",,"1","FBA","9.99","3.37","3","29.97","228,091","3.5","12","0","4.6x5.8x1.9","0.88","Large Standard-Size","7",,
"B07F3QZW4B","Milwaukee","Milwaukee 4932459374 932459374 Premium Magnetic Tape Measure 5m/16ft (Width 27mm)","DIY & Tools",,"2","AMZ","19.95","5.26","11","219.45","65,107","4.5","41","1","3.1x3.9x2.4","0.79","Large Standard-Size","6",,
"B00AO4RSK2","Stanley","Stanley FMHT0-33868 Magnetic Tape","DIY & Tools",,"4","MFN","24.95","4.84","23","573.85","35,174","4","60","1","4.3x7.2x2.3","1.19","Large Standard-Size","4",,
"B002SHLP2U","Stanley","Stanley 033805 Fatmax Tape 10m/33ft","DIY & Tools",,"6","MFN","19.98","4.84","32","639.36","42,730","4","20","0","4.2x6.6x2.2","1.54","Large Standard-Size","1",,
"B001FCOV0C","Draper","Draper 75300 7.5 m (25-Foot) x 25 mm Tape Measure","DIY & Tools",,"5","MFN","8.42","3.14","6","50.52","62,408","4","63","0","3.9x5.4x1.7","0.88","Large Standard-Size","1",,
"B003CT4DG8","Roughneck","Roughneck ROU43208 E-Z Read Tape Measure 8m","DIY & Tools",,"2","AMZ","14.50","3.91","13","188.50","82,437","4","35","0","4.6x6.7x1.8","1.23","Large Standard-Size","1",,
"B082YK2838","Crescent Lufkin",,,,"n/a","N/A","0.00","0.00",,,,"5","1","n/a","n/a",,"n/a",,,
"B083DZ5X8V","Blaupunkt","Blaupunkt 8m Tape Measure JT2500 - Double Sided - Metric and Imperial Markings - 8m x 25mm (26 Feet x 1 Inch) - Long Standout - Impact Resistant Soft-Grip","DIY & Tools",,"1","MFN","12.99","3.73","20","259.80","51,560","5","5","0","3.3x3.3x2.0","0.88","Large Standard-Size","6",,
"B082YJ5FQ4","Crescent Lufkin","Crescent Lufkin L1125BCM 3cm x 8m Shockforce Night Eye Dual Sided Tape Measure, 30 Meter Drop Tested","DIY & Tools",,"1","AMZ","30.05","6.80","29","871.45","21,975","5","1","0","4.4x7.4x2.6","1.28","Large Standard-Size","3",,
"B07NWH9N9D","($) Hanmer","($) Digital Laser Distance Meter,Hanmer Rechargable Laser Meter Laser Measure,Portable Handle Digital Range Finder(Laser Tape Measure)","($) DIY & Tools","($) ","1","FBA","29.99","5.74","172","5,158.28","5,848","4.5","604","54","4.6x6.5x2.6","0.88","Large Standard-Size","8",,
"B07GLQ5KTP","($) DAYOU","($) Tape Measure 8M – 26 FT X 8 M Measuring Tape Double Sided Metric and Imperial, Dual Lock Releases,Tape Measure with Magnetic Hook, Self-Locking, Metal Casing,","($) DIY & Tools","($) ","1","FBA","12.99","4.00","31","402.69","16,353","4","151","2","4.1x4.5x2.5","1.1","Large Standard-Size","6",,
"B07TFYBHBQ","($) AmazonBasics","($) ","($) ","($) ","n/a","N/A","0.00","0.00",,,,"4.5","25","n/a","n/a",,"n/a",,,
