#,Product Name,ASIN,Brand,Category,Price (£),Rank,Mo. Sales,Revenue (£),Reviews,First review date,Rating,Weight (lbs),Url
50,"GYFHMY Terracotta Warriors Style Chess with Board, Hand Crafted International Chesses, Folding Storage Retro Set, Classic Family Game Perfect for Kids Adults",B07YKP3518,GYFHMY,Toys & Games,50.04,41428,38,1902,0,--,3.5,N/A,https://www.amazon.co.uk/dp/B07YKP3518/
51,"Exclusive AMBASSADOR DE LUXE CHERRY 54cm / 21in Premium Quality Wooden Chess Set, Handcrafted Classic Game",B079Q951RC,Master of Chess,Toys & Games,49.99,31732,45,2250,0,--,3.6,2,https://www.amazon.co.uk/dp/B079Q951RC/
52,"Hellery Wooden Handmade International Chess Set, 3 in 1 Chess Backgammon Pieces Game Toys - 44x44cm",B083H8F87H,Hellery,Toys & Games,33.45,198228,20,669,0,--,4.4,N/A,https://www.amazon.co.uk/dp/B083H8F87H/
53,77mm Ash wood chess pieces in wooden box,B078VRMRKQ,Brimtoy,Toys & Games,0,38709,39,,17,,4.9,0.37,https://www.amazon.co.uk/dp/B078VRMRKQ/
54,Reelva WOODEN CHESS 30 X 30CM CLASSIC FOLDING SET CHESS BOARD GAME,B01N2KK7ZF,Reelva,Toys & Games,0,78327,27,,45,,3.6,0.58,https://www.amazon.co.uk/dp/B01N2KK7ZF/
55,High-Class OLYMPIC Large 42cm / 16.5in Wooden Hand Crafted Professional Chess Set by Master Of Chess,B01MTL2YAA,Master of Chess,Toys & Games,34.9,28529,48,1675,6,Jan 27 2016,3.4,0.86,https://www.amazon.co.uk/dp/B01MTL2YAA/
56,Large CLASSIC TOURNAMENT Wooden Chess Set 41 x 41cm - Great Chess Board & Staunton Pieces!,B077LH821X,Master of Chess,Toys & Games,0,170605,21,,7,Dec 3 2018,3.7,1.1,https://www.amazon.co.uk/dp/B077LH821X/
57,Nuheby Chess Set Board Game Wooden Toy Handmade Folding Travel Chess Set for Kids Adults International Chess Party Game Portable Chess Game Traditional Toys for 3 4 5 6 Year Olds Boys Girls Gift,B07F76KTQ2,Nuheby,Toys & Games,14.99,17525,68,1019,47,,4.0,0.52,https://www.amazon.co.uk/dp/B07F76KTQ2/
58,"Peradix Chess Board Set, Foldable/Portable Board with 2 Storage bag, Traditional Classic Deluxe Magnetic Chess Games for Kids and Adults, 35 x 30cm Made of WPC-Brown",B07MXHL1ZZ,Peradix,Toys & Games,19.99,5483,173,3458,120,Jul 6 2017,4.5,1.04,https://www.amazon.co.uk/dp/B07MXHL1ZZ/
59,"10"" White Wood folding chess set with Staunton style pieces",B001F8HQ4Y,The Regency Chess Company,Toys & Games,0,144179,22,,5,,4.4,0.42,https://www.amazon.co.uk/dp/B001F8HQ4Y/
60,"Professional TOURNAMENT No.5 WALNUT 48cm / 19in Wooden Chess Set, Chess Game with Staunton Figures, Handcrafted Classic Game",B07H23CBWZ,Master of Chess,Toys & Games,53.1,35440,42,2230,0,--,4.4,1.58,https://www.amazon.co.uk/dp/B07H23CBWZ/
61,Lixada Portable Wooden Magnetic Chessboard Folding Board Chess Game International Chess Set For Party Family Activities (Ordinary wood 300 * 150 * 28cm),B0768MD6YB,Lixada,Toys & Games,15.99,7382,135,2159,57,Jul 2 2018,3.5,0.42,https://www.amazon.co.uk/dp/B0768MD6YB/
62,"Gorgeous THE KINGDOM 31cm / 12in Wooden Chess Set, Handcrafted Classic Chess Game",B015LDPTO2,Master of Chess,Toys & Games,0,205943,20,,5,,2.4,0.62,https://www.amazon.co.uk/dp/B015LDPTO2/
63,Shine  3 in 1 Wooden Board Game Set Compendium Travel Games Chess Backgammon Draughts,B01GXEK5VU,SHINE,Toys & Games,14.98,22607,56,839,18,,3.5,0.1,https://www.amazon.co.uk/dp/B01GXEK5VU/
64,MEDIEVAL White & Black Edition Wooden Chess Set 40x40cm & Plastic Pieces,B01M27AW00,Master of Chess,Toys & Games,0,161293,21,,18,Dec 14 2016,4.4,1.18,https://www.amazon.co.uk/dp/B01M27AW00/
65,"Exclusive AMBASSADOR DELUXE 54cm / 21in Premium Quality Wooden Chess Set, Handcrafted Classic Game",B015EOZEW0,Master of Chess,Toys & Games,0,205048,20,,20,Feb 17 2016,3.9,2,https://www.amazon.co.uk/dp/B015EOZEW0/
66,Jaques of London Travel Chess Sets – Compact Chess Set for adults & kids. Perfect Size Chess Board for Travel. We’ve made Chess for 180 years!,B07NXRNTRX,Jaques of London,Toys & Games,12.99,13430,83,1078,121,May 20 2019,4.0,0.14,https://www.amazon.co.uk/dp/B07NXRNTRX/
67,3 in 1 Wooden Chess Set Folding Chess Board Traditional Games Chess Board Set Portable Games for Travel Home,B07TYMVQ9W,Stronghigh,Toys & Games,0,95855,25,,0,--,3.9,N/A,https://www.amazon.co.uk/dp/B07TYMVQ9W/
68,Staunton No. 6 Tournament Chess Pieces w/ Wood Box,B0010FIX2G,Wegiel,Toys & Games,29.98,26053,51,1529,278,,4.6,1.11,https://www.amazon.co.uk/dp/B0010FIX2G/
69,3 In 1 Wooden International Chess Set Board Travel Games Chess Backgammon Draughts Entertainment,B086L2SXRD,CULER,Toys & Games,0,496754,17,,0,--,3.7,0.3,https://www.amazon.co.uk/dp/B086L2SXRD/
70,"Luxury MEDIEVAL SILVER Chess Set 40cm / 16"" Wooden Board / Metalized PIeces",B01I3S2FOY,Master of Chess,Toys & Games,49.99,62320,30,1500,11,Dec 28 2016,3.5,0.46,https://www.amazon.co.uk/dp/B01I3S2FOY/
71,Woodeeworld Large Wooden Chess Set 50 x 50 Hand Crafted Incrusted Chessmen,B079TL4NLD,Woodeeworld,Toys & Games,75.98,317297,18,1368,0,--,3.6,2,https://www.amazon.co.uk/dp/B079TL4NLD/
72,Master Of Chess Lovely MATRYOSHKA BLUE - 42 cm / 16.5 in Wooden Hand Painted Decorative Chess Set,B079Q5XBNP,Master of Chess,Toys & Games,37.99,241145,19,722,1,May 25 2018,5.0,1.2,https://www.amazon.co.uk/dp/B079Q5XBNP/
73,"Luxury MEDIEVAL SILVER Chess Set 40cm / 16"" Wooden Board / Metalized PIeces",B01I3S2FOY,Master of Chess,Toys & Games,49.99,62320,30,1500,11,Dec 28 2016,3.5,0.46,https://www.amazon.co.uk/dp/B01I3S2FOY/
74,"Superb Pearl 35 cm / 14in Wooden Chess Game , Handcrafted Classic Game",B00S8QA2P6,Master of Chess,Toys & Games,0,169393,21,,11,,4.7,0.8,https://www.amazon.co.uk/dp/B00S8QA2P6/
75,"Beautiful RUBY Decorative, Sculpted and Hand Crafted Wooden Chess Set by Master Of Chess",B01N3Y8W0R,Master of Chess,Toys & Games,74.99,44192,36,2700,10,Oct 1 2016,3.8,1.36,https://www.amazon.co.uk/dp/B01N3Y8W0R/
76,Staunton No. 4 Tournament Chess Pieces w/ Wood Box,B0010FKQVW,Wegiel,Toys & Games,22.81,34375,42,958,203,Dec 12 2017,4.4,0.87,https://www.amazon.co.uk/dp/B0010FKQVW/
77,The Noble Collection The Batman Chess Set ( The Dark Knight vs The Joker ),B01GHOW5UU,Noble Collections,Toys & Games,43,24030,54,2322,211,,4.7,0.1,https://www.amazon.co.uk/dp/B01GHOW5UU/
78,Absolutely Amazing CHERRY AMBASSADOR 54cm / 21in Large Wooden Chess Set with Burnt Ornaments on Chess Board,B015U13THE,Master of Chess,Toys & Games,0,39660,39,,23,Jan 8 2016,3.6,2.1,https://www.amazon.co.uk/dp/B015U13THE/
79,OkidSTEM magnetic Travel chess set With folding chess board Educational toys for Kids and adults,B075JCW85S,OkidSTEM,Toys & Games,18.85,51856,33,622,40,,4.8,0.44,https://www.amazon.co.uk/dp/B075JCW85S/
80,ChessEbook boxed set Chess + Draughts + Backgammon 35 x 35 cm,B00BIJL21I,Chessebook,Toys & Games,24.99,164489,21,525,17,,4.5,0.84,https://www.amazon.co.uk/dp/B00BIJL21I/
81,"Chessgammon CHESS BOARD WOODEN CHESS SET FOR ADULT HANDCRAFTED TRADITIONAL GAMES WALNUT BOARD SHEESHAM CLASSIC STAUNTON WEIGHTED CHESS PIECES 20""",B082P94SLD,Chessgammon,Toys & Games,154.99,741994,16,2480,0,--,4.9,N/A,https://www.amazon.co.uk/dp/B082P94SLD/
82,"iBaseToy Magnetic Chess Set, 2 in 1 Chess and Draughts Set Chess Checkers Game Set Folding Chess Board for Adults and Kids – 36 x 31cm",B07D4DW12F,iBaseToy,Toys & Games,23.99,12503,88,2111,134,Jul 9 2018,4.3,1.1,https://www.amazon.co.uk/dp/B07D4DW12F/
83,Stunning KINGDOM 36cm DRAUGHTS - Chess and Checkers Wooden Set - Bargain,B015NC6YS6,Master of Chess,Toys & Games,0,54792,32,,34,Jan 18 2016,4.3,0.7,https://www.amazon.co.uk/dp/B015NC6YS6/
84,Peradix Travel Chess Board Set Games - Magnetic Chess Piece with Portable/Foldable Board- Educational Toys For Kid/Children/Adults -Gold/Silver Chess Piece -Traditional Game Gift,B07Y9TLFSG,Peradix,Toys & Games,13.99,67946,29,406,460,Sep 30 2019,4.6,0.43,https://www.amazon.co.uk/dp/B07Y9TLFSG/
85,"Wooden Chess Set, Folding Travel Chess Board,Durable,Anti-scratch,Handmade Large Wooden Board Game for Kids And Adults(15Inch X 15Inch)",B07Y1ZVDC2,MooKe,Toys & Games,24.73,545880,17,420,0,--,4.5,N/A,https://www.amazon.co.uk/dp/B07Y1ZVDC2/
86,Wrighteu Wooden Folding Chess Set 3 In 1 Traditional Games Chess Board and Chess Magnetic Set with Storage 29x29CM,B07KYN7WV3,Wrighteu,Toys & Games,10.99,75729,28,308,0,--,4.4,N/A,https://www.amazon.co.uk/dp/B07KYN7WV3/
87,bottlewise 3 in 1 Wooden Folding Chess Checkers Backgammon Game Travel Draughts Set with Storage,B07N37DXP4,bottlewise,Toys & Games,0,44239,36,,0,--,3.7,N/A,https://www.amazon.co.uk/dp/B07N37DXP4/
88,3 in 1 Folding Wooden Chess Set Children Portable International Chess Checkers Backgammon Combination Wood Toys Set,B08538BMCH,Lzdingli,Toys & Games,19.85,482895,17,337,0,--,4.4,0.8,https://www.amazon.co.uk/dp/B08538BMCH/
89,House of Marbles Standard Wooden Fold-Up Chess Set,B001DXEA0O,House of Marbles,Toys & Games,0,109581,24,,152,,4.2,0.23,https://www.amazon.co.uk/dp/B001DXEA0O/
90,eLUUGIE Wooden Chess Pieces/Wood Chess Pieces only Without Board for Replacement of Missing Pieces 3.5 inch King Chess Pieces Figure (3.5 inches),B082RZMDRT,eLUUGIE,Toys & Games,13.99,69281,29,406,3,,4.6,0.24,https://www.amazon.co.uk/dp/B082RZMDRT/
91,Great RED KINGDOM 35cm / 13.8in Handcrafted Wooden Chess Set with Draughts / Checkers,B015NDSPGY,Master of Chess,Toys & Games,0,217364,19,,24,,3.9,0.8,https://www.amazon.co.uk/dp/B015NDSPGY/
92,SQUARE - Wooden Game Set - 3 in 1 - SENATOR - Chess - Backgammon - Checkers,B06Y3G42SC,SQUARE GAME,Toys & Games,51.9,245411,19,986,23,,4.3,1.4,https://www.amazon.co.uk/dp/B06Y3G42SC/
93,Chessebook Wooden Chess Set in Case 52 cm,B076N13PNS,Chessebook,Toys & Games,46.99,442489,17,799,268,,4.6,2.32,https://www.amazon.co.uk/dp/B076N13PNS/
94,DEALBOX Folding Fold Up Wooden Chess Game Set 32 cm x 32 cm,B084YPL3G6,DEALBOX,Toys & Games,10.9,97785,25,273,0,--,4.3,N/A,https://www.amazon.co.uk/dp/B084YPL3G6/
95,MAGNETIC WOODEN CHESS FOLDING WITH WOOD FINISH WORKMANSHIP CHESS BOARD SET WITH SEPARATE PLACE HOLDERS,B07FKRPRVZ,SHINE,Toys & Games,15.99,215709,19,304,4,,4.0,0.73,https://www.amazon.co.uk/dp/B07FKRPRVZ/
96,"Amazinggirl wooden chess set - for adults and for children chess board foldable with figures boards game (35X35 cm, Chess with checkers (2in1))",B07SKWPZ4X,Amazinggirl,Toys & Games,0,96605,25,,483,,4.5,0.91,https://www.amazon.co.uk/dp/B07SKWPZ4X/
